課號,課名,成績
CL0201H,國文（B）：中文寫作,90.00
IM1001,計算機概論Ｉ,88.00
LN1018A,大一英文：閱讀與寫作,91.00
MA1005A,微積分,99.00
MT1021E,企業概論,77.00
MT1031E,會計學,95.00
CC0213,全球環境變遷,88.00
CC0420,族群與多元文化,92.00
IM1013C,初階程式設計,88.00
MA1201F,微積分python實作,99.00
PE1011G,大一體育,87.00
CR0001,操行,85.00
SC0003X,服務學習課程,勞動服務通過
CL0126,國文（A）經典閱讀：傳統節氣作品選讀,89.00
IM1018,資訊管理導論,82.00
IM1023B,程式設計,95.00
LN1015A,大一英文：聽力與會話,90.00
MA1006A,微積分,94.00
MT1032E,會計學,86.00
CC0314,生活中的物理學,89.00
GS4717,數位學習,92.00
PE1022G,大一體育,84.00
CR0001,操行,87.00
SC0004X,服務學習課程,勞動服務通過
HI0014,歷史：台灣史,91.00
IM2011,資料與檔案結構,94.00
IM2015,UNIX作業系統,85.00
MT1011E,經濟學,98.00
MT2041E,統計學,99.00
GS4110,通識地球物理,90.00
IM4021,Java程式設計進階,87.00
LN2917,職場英文,85.00
PE2261,太極拳,88.00
CR0001,操行,87.00
IM2002,資料庫管理,81.00
IM3029B,網頁程式設計,90.00
IM3061,企業資料通訊,91.00
MT1012E,經濟學,75.00
MT2042E,統計學,99.00
CC0140,西洋藝術,90.00
PE2121E,網球入門,80.00
MN3004A,全民國防教育軍事訓練-國防科技,75.00
CR0001,操行,85.00
IM3003,作業研究Ⅰ,91.00
IM3069,系統分析與設計,94.00
IM3070,組織行為,91.00
GS4506,運動產業發展趨勢,93.00
IM1019,商事法,92.00
IM3059,行銷學,95.00
IM3071,數位金融科技,98.00
IM5032,物聯網實務應用,89.00
LN0025H,日文(一)A,98.00
CR0001,操行,85.00
IM2037,演算法,91.00
IM3028A,資訊系統發展專題Ｉ,94.00
IM3031B,電子商務,95.00
IM3058,電子商務技術,停修
IM3078,人工智慧與機器學習,93.00
IM4010,數位圖書館,88.00
IM7000,管理會計,97.00
PE2331A,桌球入門,86.00
CR0001,操行,85.00
